station_id,station_name,basin,country,latitude,longitude,date,year,month,day,day_of_year,rainfall_mm,river_level_m,soil_moisture_percent,temperature_celsius,flood_risk_score,flood_event_occurred,severity_level,season,monsoon_season,data_quality_score
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2020-07-24,2020,7,24,206,95.18,18.42,97.93,29.24,9.73,1,Extreme,Summer,1,0.915
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2003-12-17,2003,12,17,351,6.06,3.53,22.97,24.66,1.54,0,Low,Winter,0,0.933
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2010-07-02,2010,7,2,183,23.69,5.58,51.1,23.51,4.08,0,Moderate,Summer,1,0.939
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2001-02-13,2001,2,13,44,4.29,2.53,21.44,8.17,2.24,0,Low,Winter,0,0.951
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2014-08-17,2014,8,17,229,24.86,7.64,50.73,33.66,4.92,0,Moderate,Summer,1,0.946
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2015-08-01,2015,8,1,213,25.32,6.18,53.54,34.27,4.7,0,Moderate,Summer,1,0.936
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2015-10-19,2015,10,19,292,35.85,6.77,63.39,35.91,5.9,0,High,Autumn,1,0.978
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2018-03-21,2018,3,21,80,4.01,2.95,21.56,8.51,2.39,0,Low,Spring,0,0.986
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2014-11-21,2014,11,21,325,3.29,3.6,26.89,29.15,3.14,0,Moderate,Autumn,0,0.947
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2024-03-29,2024,3,29,89,4.84,2.3,16.55,7.73,1.78,0,Low,Spring,0,0.945
ASIA_0022,Guwahati,Brahmaputra,India,24.4732,90.0963,2006-09-10,2006,9,10,253,29.1,7.97,56.22,34.49,5.38,0,High,Autumn,1,0.955
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2023-12-23,2023,12,23,357,11.99,3.87,18.39,23.15,2.57,0,Low,Winter,0,0.924
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2016-12-11,2016,12,11,346,7.49,3.19,20.59,28.48,2.81,0,Low,Winter,0,0.902
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2008-06-23,2008,6,23,175,22.67,10.57,48.76,19.57,5.85,0,High,Summer,1,0.972
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2016-11-23,2016,11,23,328,5.2,3.79,30.15,28.89,2.98,0,Low,Autumn,0,0.899
ASIA_0024,Dibrugarh,Brahmaputra,India,28.4315,88.5462,2001-12-01,2001,12,1,335,5.58,2.66,23.93,22.84,2.15,0,Low,Winter,0,0.916
ASIA_0021,Dhubri,Brahmaputra,India,25.6687,91.0618,2001-10-13,2001,10,13,286,34.81,7.24,54.45,32.4,5.05,0,High,Autumn,1,0.931
ASIA_0023,Tezpur,Brahmaputra,India,28.0852,88.0062,2017-10-09,2017,10,9,282,32.58,8.34,50.86,36.79,6.05,0,High,Autumn,1,0.979
ASIA_0025,Pandu,Brahmaputra,India,26.581,88.5394,2002-09-03,2002,9,3,246,29.88,6.9,58.39,33.76,5.37,0,High,Autumn,1,0.887
